name,chem_formula,SMILES,BE(eV),metal_ion
"Methyl 2,2,3,3,3-pentafluoropropyl carbonate",C5H5F5O3,COC(=O)OCC(F)(F)C(F)(F)F,4.77,Zn
Ethyl propyl carbonate (EPC),C6H12O3,CCCOC(=O)OCC,4.39,Zn
Ethyl propan-2-yl carbonate,C6H12O3,CCOC(=O)OC(C)C,4.04,Zn
Methyl isopropyl carbonate,C5H10O3,COC(=O)OC(C)C,4.11,Zn
"4-(Fluoromethyl)-1,3-dioxolan-2-one (FPC)",C4H5FO3,O=C1OCC(CF)O1,4.66,Zn
"4-Ethyl-1,3-dioxolan-2-one (BC)",C5H8O3,CCC1COC(=O)O1,4.5,Zn
3-(Methylsulfonyl)propyl methyl carbonate,C6H12O5S,COC(=O)OCCCS(C)(=O)=O,3.67,Zn
Ethyl 3-methylsulfonylpropyl carbonate,C7H14O5S,CCOC(=O)OCCCS(C)(=O)=O,3.66,Zn
"Bis(2,2,2-trifluoroethyl) Carbonate",C5H4F6O3,O=C(OCC(F)(F)F)OCC(F)(F)F,5.15,Zn
"1,3-Benzodioxol-2-one",C7H4O3,O=c1oc2ccccc2o1,2.903,Zn
"(S)-4-Ethenyl-1,3-dioxolan-2-one",C5H6O3,C=CC1COC(=O)O1,3.23,Zn
"1,3-Dioxepan-2-one",C5H8O3,O=C1OCCCCO1,3.92,Zn
"4,5-Dimethyl-1,3-dioxolan-2-one",C5H8O3,CC1OC(=O)OC1C,4.42,Zn
Allyl methyl carbonate,C5H8O3,C=CCOC(=O)OC,3.18,Zn
"4,5-Difluoro-1,3-dioxolan-2-one",C3H2F2O3,O=C1OC(F)C(F)O1,5.47,Zn
Carbonic acid bis(trifluoromethyl) ester,C3F6O3,O=C(OC(F)(F)F)OC(F)(F)F,5.94,Zn
1-Fluoroethyl methyl carbonate,C4H7FO3,COC(=O)OC(C)F,4.86,Zn
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,3.58,Zn
Ethyl vinyl sulfone (EVS),C4H8O2S,C=CS(=O)(=O)CC,3.77,Zn
Ethyl methyl sulfone (EMS),C3H8O2S,CCS(C)(=O)=O,3.73,Zn
Dimethyl sulfone (DMS),C2H6O2S,CS(C)(=O)=O,4.14,Zn
Diethyl sulfone (DES),C4H10O2S,CCS(=O)(=O)CC,3.57,Zn
Dimethyl Sulfoxide (DMSO),C2H6OS,CS(C)=O,2.53,Zn
Diethyl sulfoxide,C4H10OS,CCS(=O)CC,1.2,Zn
Dipropyl sulfoxide,C6H14OS,CCCS(=O)CCC,0.98,Zn
Dibutyl sulphoxide,C8H18OS,CCCCS(=O)CCCC,2.31,Zn
Ethylene sulfite (ES),C2H4O3S,O=S1OCCO1,4.11,Zn
Propylene sulfite (PS),C3H6O3S,CC1COS(=O)O1,3.99,Zn
1-Fluoro-2-(methylsulfonyl)benzene (FS),C7H7FO2S,CS(=O)(=O)c1ccccc1F,3.24,Zn
2-(Methylsulphonyl)propane,C4H10O2S,CC(C)S(C)(=O)=O,3.28,Zn
Methanesulfonyl fluoride,CH3FO2S,CS(=O)(=O)F,5.39,Zn
"1,1,1-Trifluoro-3-(methanesulfonyl)propane",C4H7F3O2S,CS(=O)(=O)CCC(F)(F)F,4.18,Zn
Ethyl Isopropyl Sulfone,C5H12O2S,CCS(=O)(=O)C(C)C,3.19,Zn
Ethyl isobutyl sulfone,C6H14O2S,CCS(=O)(=O)CC(C)C,3.47,Zn
Dipropyl sulfone,C6H14O2S,CCCS(=O)(=O)CCC,3.51,Zn
3-Methylsulfolane,C5H10O2S,CC1CCS(=O)(=O)C1,3.58,Zn
"2-Methylthietane 1,1-dioxide",C4H8O2S,CC1CCS1(=O)=O,3.1,Zn
3-Methylsulfonylpropyl acetate,C6H12O4S,CC(=O)OCCCS(C)(=O)=O,3.72,Zn
"2-(Methylsulfonyl)ethyl 2,2-difluoroacetate",C5H8F2O4S,CS(=O)(=O)CCOC(=O)C(F)F,4.05,Zn
"Thietane 1,1-dioxide",C3H6O2S,O=S1(=O)CCC1,4.25,Zn
3-Methoxysulfolane,C5H10O3S,COC1CCS(=O)(=O)C1,3.23,Zn
3-Ethoxysulfolane,C6H12O3S,CCOC1CCS(=O)(=O)C1,3.15,Zn
"3-Isopropoxytetrahydrothiophene 1,1-dioxide",C7H14O3S,CC(C)OC1CCS(=O)(=O)C1,3.08,Zn
"3-(2-Methoxyethoxy)thiolane 1,1-dioxide",C7H14O4S,COCCOC1CCS(=O)(=O)C1,2.8,Zn
"1,1-Dioxidotetrahydro-3-thienyl acetate",C6H10O4S,CC(=O)OC1CCS(=O)(=O)C1,3.72,Zn
Methyl Methanesulfonylacetate,C4H8O4S,COC(=O)CS(C)(=O)=O,3.92,Zn
1-Methoxy-2-(2-methoxyethanesulfonyl)ethane,C6H14O4S,COCCS(=O)(=O)CCOC,3.23,Zn
Ethyl methanesulfonylacetate,C5H10O4S,CCOC(=O)CS(C)(=O)=O,3.87,Zn
Acetic acid 2-methanesulfonyl-ethyl ester,C5H10O4S,CC(=O)OCCS(C)(=O)=O,3.95,Zn
"2-(Methylsulfonyl)ethyl 2,2,2-trifluoroacetate",C5H7F3O4S,CS(=O)(=O)CCOC(=O)C(F)(F)F,4.07,Zn
Methyl 2-methylsulfonylethyl carbonate,C5H10O5S,COC(=O)OCCS(C)(=O)=O,3.94,Zn
Methoxy(methylsulfonyl)methane,C3H8O3S,COCS(C)(=O)=O,2.44,Zn
Methyl propyl sulfone (MPS),C4H10O2S,CCCS(C)(=O)=O,3.71,Zn
1-Ethanesulfonyl-2-methoxy-ethane,C5H12O3S,CCS(=O)(=O)CCOC,3.25,Zn
Butyl butane-1-sulfonate,C8H18O3S,CCCCOS(=O)(=O)CCCC,3.77,Zn
"5-Fluoro-1,2-oxathiolane 2,2-Dioxide",C3H5FO3S,O=S1(=O)CCC(F)O1,4.78,Zn
"1,3-Propane sultone",C3H6O3S,O=S1(=O)CCCO1,4.01,Zn
"Prop-1-ene-1,3-sultone",C3H4O3S,O=S1(=O)C=CCO1,4.26,Zn
Difluoro(methylsulfonyl)methane,C2H4F2O2S,CS(=O)(=O)C(F)F,3.98,Zn
Methyltrifluoromethylsulfone,C2H3F3O2S,CS(=O)(=O)C(F)(F)F,4.52,Zn
Chloromethylsulfonylmethane,C2H5ClO2S,CS(=O)(=O)CCl,4.26,Zn
"Thiophene, 2-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,O=S1(=O)CCCC1F,3.45,Zn
"Thiophene, 3-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,O=S1(=O)CCC(F)C1,3.83,Zn
"1,1,1-Trifluoro-2-methylsulfonylethane",C3H5F3O2S,CS(=O)(=O)CC(F)(F)F,4.58,Zn
Trifluoromethanesulphonylethane,C3H5F3O2S,CCS(=O)(=O)C(F)(F)F,4.36,Zn
"1,1,1-Trifluoro-2-methylsulfonylpropane",C4H7F3O2S,CC(C(F)(F)F)S(C)(=O)=O,4.06,Zn
2-(Trifluoromethanesulfonyl)propane,C4H7F3O2S,CC(C)S(=O)(=O)C(F)(F)F,3.29,Zn
Methyl 2-(fluorosulfonyl)acetate,C3H5FO4S,COC(=O)CS(=O)(=O)F,4.68,Zn
3-Cyanopropane-1-sulfonyl fluoride,C4H6FNO2S,N#CCCCS(=O)(=O)F,5.16,Zn
"1,4-Butane sultone",C4H8O3S,O=S1(=O)CCCCO1,4.19,Zn
Trimethyl phosphate (TMP),C3H9O4P,COP(=O)(OC)OC,3.95,Zn
Triethyl phosphate (TEP),C6H15O4P,CCOP(=O)(OCC)OCC,3.82,Zn
Dimethyl methylphosphonate,C3H9O3P,COP(C)(=O)OC,3.73,Zn
Pyridine (py),C5H5N,c1ccncc1,2.99,Zn
1-Methylimidazole,C4H6N2,Cn1ccnc1,2.29,Zn
2-Pyrrolidinone,C4H7NO,O=C1CCCN1,3.13,Zn
Pyrrolidine-2-thione,C4H7NS,S=C1CCCN1,2.22,Zn
Succinimide,C4H5NO2,O=C1CCC(=O)N1,3.56,Zn
1-Methyl-2-pyrrolidinone (NMP),C5H9NO,CN1CCCC1=O,2.46,Zn
Acetone (AC),C3H6O,CC(C)=O,3.23,Zn
"4,5-Dimethyl-1,3-dioxol-2-one",C5H6O3,Cc1oc(=O)oc1C,2.45,Zn
3-Methyl-2-oxazolidone,C4H7NO2,CN1CCOC1=O,2.61,Zn
1-Methyl-2-pyrrolidinone,C5H9NO,CN1CCCC1=O,2.46,Zn
"1,3-Dimethyl-2-imidazolidinone (DMI)",C5H10N2O,CN1CCN(C)C1=O,1.82,Zn
Furan,C4H4O,c1ccoc1,2.45,Zn
"2,5-Dimethylfuran",C6H8O,Cc1ccc(C)o1,2.5,Zn
Tetrahydropyran,C5H10O,C1CCOCC1,2.82,Zn
Ethoxymethoxymethane,C4H10O2,CCOCOC,3.06,Zn
3-Fluorofuran,C4H3FO,Fc1ccoc1,2.59,Zn
2-Fluorofuran,C4H3FO,Fc1ccco1,2.47,Zn
"3,4-Difluorofuran",C4H2F2O,Fc1cocc1F,2.8,Zn
"2,5-Difluorofuran",C4H2F2O,Fc1ccc(F)o1,2.5,Zn
"2,4-Difluorofuran",C4H2F2O,Fc1coc(F)c1,2.63,Zn
2-Furonitrile,C5H3NO,N#Cc1ccco1,2.98,Zn
2-Methoxyfuran,C5H6O2,COc1ccco1,1.72,Zn
3-Methoxyfuran,C5H6O2,COc1ccoc1,2,Zn
2-Ethylfuran,C6H8O,CCc1ccco1,2.1,Zn
"2,3-Dimethylfuran",C6H8O,Cc1ccoc1C,1.86,Zn
3-Methyltetrahydrofuran,C5H10O,CC1CCOC1,2.9,Zn
2-Methyltetrahydrofuran,C5H10O,CC1CCCO1,2.84,Zn
Methoxyacetone,C4H8O2,COCC(C)=O,2.67,Zn
Chloroacetone,C3H5ClO,CC(=O)CCl,3.49,Zn
Aminoacetone,C3H7NO,CC(=O)CN,2.12,Zn
Fluoroacetone,C3H5FO,CC(=O)CF,3.51,Zn
3-Heptanone,C7H14O,CCCCC(=O)CC,2.94,Zn
Methyl Ethyl Ketone,C4H8O,CCC(C)=O,3.11,Zn
gamma-Valerolactone,C5H8O2,CC1CCC(=O)O1,3.77,Zn
"N,N-Dimethylformamide (DMF)",C3H7NO,CN(C)C=O,6.481,Mg
Formamide,CH3NO,NC=O,5.849,Mg
"N,N-Dimethylacetamide (DMA)",C4H9NO,CC(=O)N(C)C,6.766,Mg
N-Methylacetamide (NMA),C3H7NO,CNC(C)=O,6.5,Mg
Acetamide,C2H5NO,CC(N)=O,6.262,Mg
Thioacetamide,C2H5NS,CC(N)=S,6,Mg
Isobutyramide,C4H9NO,CC(C)C(N)=O,6.813,Mg
Butyramide,C4H9NO,CCCC(N)=O,6.866,Mg
Urea,CH4N2O,NC(N)=O,6.585,Mg
Propionamide,C3H7NO,CCC(N)=O,6.422,Mg
Dimethylcarbamyl fluoride,C3H6FNO,CN(C)C(=O)F,6.048,Mg
2-Fluoro-N-methylacetamide,C3H6FNO,CNC(=O)CF,7.298,Mg
N-Fluoromethyl-N-methylformamide,C3H6FNO,CN(C)C(=O)N(C)F,6.404,Mg
N-Ethylformamide,C3H7NO,CCNC=O,6.404,Mg
Cyanoformamide,C2H2N2O,N#CC(N)=O,5.151,Mg
Formylhydrazine,CH4N2O,NNC=O,6.296,Mg
n-Cyanoformamide,C2H2N2O,N#CNC=O,4.718,Mg
Methyl carbamate,C2H5NO2,COC(N)=O,6.041,Mg
Carbamic acid fluoride,CH2FNO,NC(=O)O,6.266,Mg
N-Methylformamide,C2H5NO,CNC=O,6.262,Mg
3-Fluoropropanamide,C3H6FNO,NC(=O)CCF,7.968,Mg
4-Amino-2-fluorobutanal,C4H8FNO,NCCC(F)C=O,10.68,Mg
Methylaminoformyl chloride,C2H4ClNO,CNC(=O)Cl,5.735,Mg
Carbamoyl chloride,CH2ClNO,NC(=O)Cl,5.29,Mg
Fluoroacetamide,C2H4FNO,NC(=O)CF,5.809,Mg
N-(chloromethyl)carboxamide,C2H4ClNO,O=CNCCl,6.16,Mg
N-Chloroacetamide,C2H4ClNO,CC(=O)NCl,6.128,Mg
2-Chloroacetamide,C2H4ClNO,NC(=O)CCl,6.964,Mg
N-Methoxyformamide,C2H5NO2,CONC=O,6.049,Mg
Trifluoroacetamide,C2H2F3NO,NC(=O)C(F)(F)F,6.139,Mg
Carbamic acid,CH3NO2,NC(=O)O,6.182,Mg
"N,N-Diethylacetamide (DEA)",C6H13NO,CCN(CC)C(C)=O,7.145,Mg
"N,N-Dimethylpropionamide",C5H11NO,CCC(=O)N(C)C,7.248,Mg
"N,N-Dimethylbenzamide",C9H11NO,CN(C)C(=O)c1ccccc1,7.965,Mg
